Name,hurdles,highjump,shotput,run200m,longjump,javelin,run800m
Thiam,13.56,1.98,14.91,25.1,6.58,53.13,136.5
Ennis-Hill,12.84,1.89,13.86,23.49,6.34,46.06,129.1
Theisen Eaton,13.18,1.86,13.45,24.18,6.48,47.36,129.5
Ikauniece-Admidina,13.33,1.77,13.52,23.76,6.12,55.93,129.4
Schafer,13.12,1.83,14.57,23.99,6.2,47.99,136.5
Johnson-Thompson,13.48,1.98,11.68,23.26,6.51,36.36,130.5
Rodriguez,13.61,1.86,13.69,24.26,6.25,48.89,134.7
Zsivoczky-Farkas,13.79,1.86,14.39,25.38,6.31,48.07,131.8
Oeser,13.69,1.86,14.28,24.99,6.1,47.22,133.8
Vetter,13.47,1.77,14.78,23.93,6.1,48.42,137.7
Ida,13.37,1.77,14.88,25.07,6.43,48.76,140.4
Nwaba,13.81,1.83,14.81,24.77,5.81,46.85,131.6
Broersen,13.56,1.77,14.04,24.94,6.15,50.8,137.5
Rath,13.63,1.74,12.83,24.48,6.55,39.39,127.2
Aguilar,13.84,1.74,13.6,24.12,6.23,46.9,134.3
Krizsan,13.66,1.77,13.78,25.24,6.08,49.78,133.5
Williams,13.04,1.83,11.21,24.09,6.31,40.93,136.2
Miller-Koch,13.56,1.8,12.91,24.97,6.16,40.25,126.8
Visser,13.02,1.68,12.84,24.34,6.35,42.48,134.5
Jones,13,1.89,14.09,24.35,6.3,42,161.1
Dadic,13.84,1.77,13.43,24.6,6.05,46.08,135.6
Klucinova,14.07,1.8,14.41,25.37,6.08,46.73,142.8
Chefer,14.24,1.68,13.06,24.11,6.1,45.05,134.2
Cachova,13.19,1.77,12.38,24.32,5.91,37.77,138.9
Kasyanova,13.66,1.77,13.25,24.6,5.88,38.1,136.6
Felix,14.07,1.68,11.36,24.74,6.22,40.17,135.3
Yfantidou,13.99,1.65,12.97,26.32,5.51,54.57,150.1
